"","name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region","Country","cook_category","prep_category"
"1","Idiappam","Rice flour, hot water, grated coconut","vegetarian",120,30,"spicy","snack","Tamil Nadu","South","India","Medium","Very High"
"2","Upma","Chana dal, urad dal, ginger, curry leaves, sugar","vegetarian",10,20,"spicy","snack","Tamil Nadu","South","India","Low","Very Low"
"3","Vada","Urad dal, ginger, curry leaves, green chilies, black pepper","vegetarian",15,20,"spicy","snack","Tamil Nadu","South","India","Low","Very Low"
"4","Uttapam","Chana dal, urad dal, thick poha, tomato, butter","vegetarian",10,20,"spicy","snack","Tamil Nadu","South","India","Low","Very Low"
"5","Masala Dosa","Chana dal, urad dal, potatoes, idli rice, thick poha","vegetarian",360,90,"spicy","snack","Tamil Nadu","South","India","Very High","Very High"
"6","Idli","Split urad dal, urad dal, idli rice, thick poha, rock salt","vegetarian",360,90,"spicy","snack","Tamil Nadu","South","India","Very High","Very High"
"7","Dosa","Chana dal, urad dal, whole urad dal, blend rice, rock salt","vegetarian",360,90,"spicy","snack","Tamil Nadu","South","India","Very High","Very High"
"8","Rice Papad","Rice, sev, lemon juice, chopped tomatoes","vegetarian",5,5,"spicy","snack","Tamil Nadu","South","India","Very Low","Very Low"
"9","Chicken Tikka","Chicken, whole wheat bread, rice flour, garam masala powder, whole egg","non vegetarian",120,45,"spicy","snack","Punjab","North","India","High","Very High"
"10","Tandoori Fish Tikka","Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper","non vegetarian",240,30,"spicy","snack","Punjab","North","India","Medium","Very High"
"11","Samosa","Potatoes, green peas, garam masala, ginger, dough","vegetarian",30,30,"spicy","snack","Punjab","North","India","Medium","Medium"
"12","Poha","Beaten rice flakes, potato, curry leaves, green chilies, lemon juice","vegetarian",20,30,"spicy","snack","Maharashtra","West","India","Medium","Low"
"13","Chakali","Rice flour, sesame, plain flour, turmeric, red chilli","vegetarian",10,40,"spicy","snack","Maharashtra","West","India","High","Very Low"
"14","Dahi vada","Urad dal, bhuna chana, garam masala, dates, tamarind","vegetarian",30,30,"-1","snack","Maharashtra","West","India","Medium","Medium"
"15","Kombdi vade","Rice flour, urad dal, wheat flour, gram flour, turmeric","vegetarian",10,25,"spicy","snack","Maharashtra","West","India","Low","Very Low"
"16","Sabudana Khichadi","Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili","vegetarian",70,30,"spicy","snack","Maharashtra","West","India","Medium","Very High"
"17","Surnoli","Rice flakes, yogurt, raw rice, jaggery, grated coconut","vegetarian",60,10,"spicy","snack","Maharashtra","West","India","Very Low","Very High"
"18","Chevdo","Citric acid, fry, raisins, sugar, chana daal","vegetarian",20,30,"spicy","snack","Gujarat","West","India","Medium","Low"
"19","Chorafali","Urad dal, bengal gram flour, dried mango, baking soda, black salt","vegetarian",5,15,"spicy","snack","Gujarat","West","India","Very Low","Very Low"
"20","Kutchi dabeli","Pav, aloo, peanut, pomegranate, star anise","vegetarian",30,10,"spicy","snack","Gujarat","West","India","Very Low","Medium"
"21","Dhokla","Rava, coconut, gram flour, mustard, sesame","vegetarian",10,20,"spicy","snack","Gujarat","West","India","Low","Very Low"
"22","Ghooghra","Dry fruits, semolina, all purpose flour","vegetarian",-1,-1,"spicy","snack","Gujarat","West","India","Very Low","Very Low"
"23","Handwo","Bottle gourd, chana dal, cabbage, urad dal, toor dal","vegetarian",20,30,"spicy","snack","Gujarat","West","India","Medium","Low"
"24","Khakhra","Whole wheat flour, low fat, bengal gram flour","vegetarian",20,40,"spicy","snack","Gujarat","West","India","High","Low"
"25","Khandvi","Green chili paste, white sesame seeds, gram flour, curry leaves, green chili","vegetarian",20,45,"spicy","snack","Gujarat","West","India","High","Low"
"26","Muthiya","Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour","vegetarian",15,30,"bitter","snack","Gujarat","West","India","Medium","Very Low"
"27","Patra","Arbi ke patte, sesame seeds, gur, bengal gram flour, imli","vegetarian",10,40,"spicy","snack","Gujarat","West","India","High","Very Low"
"28","Namakpara","Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil","vegetarian",10,35,"spicy","snack","Gujarat","West","India","Medium","Very Low"
"29","Lilva Kachori","Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour","vegetarian",30,6,"spicy","snack","Gujarat","West","India","Very Low","Medium"
"30","Mag Dhokli","Moong beans, jaggery, red chillies, oil, salt","vegetarian",-1,-1,"spicy","snack","Gujarat","West","India","Very Low","Very Low"
"31","Khichu","Rice flour, sesame seeds, baking soda, peanut oil","vegetarian",5,10,"spicy","snack","Gujarat","West","India","Very Low","Very Low"
"32","Thepla","Chickpea flour, methi leaves, jowar flour, wheat flour","vegetarian",15,30,"spicy","snack","Gujarat","West","India","Medium","Very Low"
"33","Farsi Puri","Semolina, clarified butter, oil, white flour, black pepper","vegetarian",-1,-1,"-1","snack","Gujarat","West","India","Very Low","Very Low"
"34","Khaman","Yogurt, fresh coconut, sesame seeds, semolina, gram flour","vegetarian",10,20,"spicy","snack","Gujarat","West","India","Low","Very Low"
"35","Dal Papad","Urad dal, sev, lemon juice, chopped tomatoes","vegetarian",5,5,"spicy","snack","Gujarat","West","India","Very Low","Very Low"
"36","Attu","Whole wheat flour, arhar dal, ginger, kala jeera, green chilli","vegetarian",150,25,"spicy","snack","Andhra Pradesh","South","India","Low","Very High"
"37","Pesarattu","Green moong beans, rice flour","vegetarian",120,20,"spicy","snack","Andhra Pradesh","South","India","Low","Very High"
